"Id","Weekly_Sales"
"1_1_2012-11-02",25703.0200060874
"1_1_2012-11-09",23373.8832092467
"1_1_2012-11-16",22493.041302193
"1_1_2012-11-23",22493.041302193
"1_1_2012-11-30",22493.041302193
"1_1_2012-12-07",22493.041302193
"1_1_2012-12-14",22493.041302193
"1_1_2012-12-21",22493.041302193
"1_1_2012-12-28",22493.041302193
"1_1_2013-01-04",22493.041302193
"1_1_2013-01-11",22493.041302193
"1_1_2013-01-18",22493.041302193
"1_1_2013-01-25",22493.041302193
"1_1_2013-02-01",22493.041302193
"1_1_2013-02-08",22493.041302193
"1_1_2013-02-15",22493.041302193
"1_1_2013-02-22",22493.041302193
"1_1_2013-03-01",22493.041302193
"1_1_2013-03-08",22493.041302193
"1_1_2013-03-15",22493.041302193
"1_1_2013-03-22",22493.041302193
"1_1_2013-03-29",22493.041302193
"1_1_2013-04-05",22493.041302193
"1_1_2013-04-12",22493.041302193
"1_1_2013-04-19",22493.041302193
"1_1_2013-04-26",22493.041302193
"1_1_2013-05-03",22493.041302193
"1_1_2013-05-10",22493.041302193
"1_1_2013-05-17",22493.041302193
"1_1_2013-05-24",22493.041302193
"1_1_2013-05-31",22493.041302193
"1_1_2013-06-07",22493.041302193
"1_1_2013-06-14",22493.041302193
"1_1_2013-06-21",22493.041302193
"1_1_2013-06-28",22493.041302193
"1_1_2013-07-05",22493.041302193
"1_1_2013-07-12",22493.041302193
"1_1_2013-07-19",22493.041302193
"1_1_2013-07-26",22493.041302193
"1_2_2012-11-02",46396.7095435897
"1_2_2012-11-09",47515.1472755046
"1_2_2012-11-16",45386.180620216
"1_2_2012-11-23",45412.2043470047
"1_2_2012-11-30",45858.233558693
"1_2_2012-12-07",46112.3257540476
"1_2_2012-12-14",46112.3257540476
"1_2_2012-12-21",46112.3257540476
"1_2_2012-12-28",46112.3257540476
"1_2_2013-01-04",46112.3257540476
"1_2_2013-01-11",46112.3257540476
"1_2_2013-01-18",46112.3257540476
"1_2_2013-01-25",46112.3257540476
"1_2_2013-02-01",46112.3257540476
"1_2_2013-02-08",46112.3257540476
"1_2_2013-02-15",46112.3257540476
"1_2_2013-02-22",46112.3257540476
"1_2_2013-03-01",46112.3257540476
"1_2_2013-03-08",46112.3257540476
"1_2_2013-03-15",46112.3257540476
"1_2_2013-03-22",46112.3257540476
"1_2_2013-03-29",46112.3257540476
"1_2_2013-04-05",46112.3257540476
"1_2_2013-04-12",46112.3257540476
"1_2_2013-04-19",46112.3257540476
"1_2_2013-04-26",46112.3257540476
"1_2_2013-05-03",46112.3257540476
"1_2_2013-05-10",46112.3257540476
"1_2_2013-05-17",46112.3257540476
"1_2_2013-05-24",46112.3257540476
"1_2_2013-05-31",46112.3257540476
"1_2_2013-06-07",46112.3257540476
"1_2_2013-06-14",46112.3257540476
"1_2_2013-06-21",46112.3257540476
"1_2_2013-06-28",46112.3257540476
"1_2_2013-07-05",46112.3257540476
"1_2_2013-07-12",46112.3257540476
"1_2_2013-07-19",46112.3257540476
"1_2_2013-07-26",46112.3257540476
"1_3_2012-11-02",10510.5334171232
"1_3_2012-11-09",11295.1717950727
"1_3_2012-11-16",11843.4425615353
"1_3_2012-11-23",12226.5500436636
"1_3_2012-11-30",12494.2486915593
"1_3_2012-12-07",12681.3047252525
"1_3_2012-12-14",12812.0112492343
"1_3_2012-12-21",12903.3432157797
"1_3_2012-12-28",12967.1619744686
"1_3_2013-01-04",13011.7557143676
"1_3_2013-01-11",13042.9158572321
"1_3_2013-01-18",13064.6891937034
"1_3_2013-01-25",13079.9034429818
"1_3_2013-02-01",13090.5344907963
"1_3_2013-02-08",13097.9629991351
"1_3_2013-02-15",13103.1537138326
"1_3_2013-02-22",13106.780756819
"1_3_2013-03-01",13109.3151748313
"1_3_2013-03-08",13111.0861145981
"1_3_2013-03-15",13112.3235693679
"1_3_2013-03-22",13113.1882483005
"1_3_2013-03-29",13113.7924478839
"1_3_2013-04-05",13114.2146359619
"1_3_2013-04-12",13114.5096424102
"1_3_2013-04-19",13114.715779933
"1_3_2013-04-26",13114.8598197618
"1_3_2013-05-03",13114.960468455
"1_3_2013-05-10",13115.0307973322
"1_3_2013-05-17",13115.0799400564
"1_3_2013-05-24",13115.1142788293
"1_3_2013-05-31",13115.1382732525
"1_3_2013-06-07",13115.1550394995
"1_3_2013-06-14",13115.166755015
"1_3_2013-06-21",13115.1749413016
"1_3_2013-06-28",13115.1806615185
"1_3_2013-07-05",13115.1846585542
"1_3_2013-07-12",13115.1874515069
"1_3_2013-07-19",13115.1894030993
"1_3_2013-07-26",13115.1907667862
"1_4_2012-11-02",36054.3755868814
"1_4_2012-11-09",37221.1522258877
"1_4_2012-11-16",35937.877864488
"1_4_2012-11-23",36021.8081727554
"1_4_2012-11-30",36248.0763808751
"1_4_2012-12-07",36304.4363066309
"1_4_2012-12-14",36564.5551051371
"1_4_2012-12-21",36140.7601976628
"1_4_2012-12-28",36182.9663529162
"1_4_2013-01-04",36266.6753329466
"1_4_2013-01-11",36318.0354019103
"1_4_2013-01-18",36361.9149037586
"1_4_2013-01-25",36222.4175954373
"1_4_2013-02-01",36242.1873934162
"1_4_2013-02-08",36276.7814868911
"1_4_2013-02-15",36300.5339207358
"1_4_2013-02-22",36300.857698488
"1_4_2013-03-01",36255.1904246101
"1_4_2013-03-08",36264.4586846574
"1_4_2013-03-15",36279.1231895478
"1_4_2013-03-22",36287.825914339
"1_4_2013-03-29",36283.1436895831
"1_4_2013-04-05",36268.362647856
"1_4_2013-04-12",36272.7188309356
"1_4_2013-04-19",36278.8142958673
"1_4_2013-04-26",36281.4905651496
"1_4_2013-05-03",36278.3293409445
"1_4_2013-05-10",36273.6457341853
"1_4_2013-05-17",36275.6699814634
"1_4_2013-05-24",36278.1107590347
"1_4_2013-05-31",36278.7610301473
"1_4_2013-06-07",36277.1781494907
"1_4_2013-06-14",36275.7474712867
"1_4_2013-06-21",36276.6668185237
"1_4_2013-06-28",36277.6021179181
"1_4_2013-07-05",36277.6810924416
"1_4_2013-07-12",36276.9822908821
"1_4_2013-07-19",36276.5718664579
"1_4_2013-07-26",36276.9774773342
"1_5_2012-11-02",22647.1607484085
"1_5_2012-11-09",24610.4920294832
"1_5_2012-11-16",23359.9728613227
"1_5_2012-11-23",23795.1019591317
"1_5_2012-11-30",25192.8691082714
"1_5_2012-12-07",24372.4231251081
"1_5_2012-12-14",24372.4231251081
"1_5_2012-12-21",24372.4231251081
